Date,Fiscal_Year,Brand_Model,Metric_Type,Units
2022-03-01,2021-22,CHERY TIGGO,Sale,0
2022-04-01,2021-22,CHERY TIGGO,Prod,0
2022-04-01,2021-22,CHERY TIGGO,Sale,0
2022-05-01,2021-22,CHERY TIGGO,Prod,0
2022-05-01,2021-22,CHERY TIGGO,Sale,0
2022-06-01,2021-22,CHERY TIGGO,Prod,0
2022-06-01,2021-22,CHERY TIGGO,Sale,0
2022-07-01,2022-23,CHERY TIGGO,Prod,93
2022-07-01,2022-23,CHERY TIGGO,Sale,72
2022-08-01,2022-23,CHERY TIGGO,Prod,190
2022-08-01,2022-23,CHERY TIGGO,Sale,123
2022-09-01,2022-23,CHERY TIGGO,Prod,197
2022-09-01,2022-23,CHERY TIGGO,Sale,242
2022-10-01,2022-23,CHERY TIGGO,Prod,18
2022-10-01,2022-23,CHERY TIGGO,Sale,69
2022-11-01,2022-23,CHERY TIGGO,Prod,155
2022-11-01,2022-23,CHERY TIGGO,Sale,153
2022-12-01,2022-23,CHERY TIGGO,Prod,144
2022-12-01,2022-23,CHERY TIGGO,Sale,47
2023-01-01,2022-23,CHERY TIGGO,Prod,300
2023-01-01,2022-23,CHERY TIGGO,Sale,258
2023-02-01,2022-23,CHERY TIGGO,Prod,141
2023-02-01,2022-23,CHERY TIGGO,Sale,114
2023-03-01,2022-23,CHERY TIGGO,Prod,60
2023-03-01,2022-23,CHERY TIGGO,Sale,121
2023-04-01,2022-23,CHERY TIGGO,Prod,8
2023-04-01,2022-23,CHERY TIGGO,Sale,20
2023-05-01,2022-23,CHERY TIGGO,Prod,12
2023-05-01,2022-23,CHERY TIGGO,Sale,25
2023-06-01,2022-23,CHERY TIGGO,Prod,0
2023-06-01,2022-23,CHERY TIGGO,Sale,24
2023-07-01,2023-24,CHERY TIGGO,Prod,0
2023-07-01,2023-24,CHERY TIGGO,Sale,0
2023-08-01,2023-24,CHERY TIGGO,Prod,0
2023-08-01,2023-24,CHERY TIGGO,Sale,0
2023-09-01,2023-24,CHERY TIGGO,Prod,0
